runtime	role	ingress	promotion	cookie	batch	sock_buf	conns	connect_cc	bond	bitrate	rep	established	pkt_sent	core_total	sec_a	sec_b	rtt_ms	elapsed_s	cpu_user_ms	cpu_sys_ms	peak_rss_kb
mio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	507	430609	430609	43	0	0.000	15.253	2494.1	12747.2	9856
mio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	507	1029589	430609	43	0	27.554	17.004	6692.3	11770.4	13052
mio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	602878	602878	38	0	0.000	21.188	3567.2	17535.2	36072
mio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	1001091	513600	38	0	85.742	26.840	8091.5	16467.7	29828
mio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	347032	347032	42	0	0.000	12.335	1911.2	10389.7	29556
mio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	621983	346482	42	0	49.022	17.961	5767.1	12482.1	26964
mio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	373929	373929	82	0	0.000	13.307	2155.8	11124.8	21888
mio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	767251	373929	82	4	29.982	18.976	5965.5	11055.2	18432
mio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	331413	331413	38	0	0.000	11.708	1683.0	10007.4	21928
mio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	644711	331413	38	0	85.930	17.329	5374.9	10675.7	22912
mio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	325805	325805	48	0	0.000	11.572	1789.1	9757.9	17388
mio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	705905	325772	48	0	26.788	17.248	5166.1	9599.7	19000
mio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	380489	380489	30	0	0.000	13.405	2012.0	11384.4	13132
mio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	850238	380489	30	0	25.273	19.093	6043.6	10597.7	16236
tokio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	285480	285480	178	0	0.000	11.252	2431.3	7913.0	17740
tokio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	510992	285480	178	0	19.567	16.952	5047.6	7818.4	19004
tokio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	285558	285558	694	0	0.000	10.099	2447.3	7522.1	18072
tokio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	499707	285558	694	0	21.631	15.835	5544.0	7836.7	19072
tokio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	285678	285678	543	0	0.000	11.235	2475.8	7711.8	18852
tokio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	544423	285678	543	7	17.987	16.939	5597.6	7443.8	20984
tokio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	286221	286221	521	0	0.000	11.178	2393.1	7848.9	13700
tokio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	508103	286221	521	33	45.546	16.882	5580.7	7801.0	16480
tokio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	286218	286218	546	0	0.000	10.097	2480.6	7568.6	13604
tokio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	517434	286218	546	0	25.616	15.807	5271.9	7532.3	17664
tokio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	285400	285400	652	0	0.000	11.213	2400.1	7856.0	15816
tokio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	510891	285400	652	0	17.829	16.914	5208.1	7709.9	18944
tokio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	285787	285787	391	0	0.000	11.291	2184.7	8158.5	19524
tokio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	476383	285787	391	33	28.460	16.964	5397.8	8225.3	19896
smol	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	285683	285683	521	0	0.000	10.530	2990.1	8863.2	13312
smol	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	281895	285683	521	0	5.646	16.242	7090.2	14470.9	18432
smol	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	285501	285501	382	0	0.000	10.479	3117.8	9063.1	11500
smol	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	281697	285501	382	0	7.024	16.170	7261.5	14434.1	16372
smol	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	511	285140	285140	332	0	0.000	15.012	2744.4	9795.6	11916
smol	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	511	281889	285140	332	15	10.755	16.234	7159.5	15535.9	15744
smol	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	285690	285690	642	0	0.000	10.478	2896.5	8551.3	11136
smol	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	281832	285690	642	14	5.565	16.170	7440.8	14828.9	16640
smol	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	291969	291969	451	0	0.000	10.466	2967.0	8842.0	12672
smol	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	279966	291969	451	0	47.838	16.030	7398.3	14833.6	28800
smol	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	285423	285423	660	0	0.000	10.498	3158.1	9272.8	14180
smol	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	281706	285423	660	0	2.804	16.200	7493.4	15026.0	19200
smol	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	285494	285494	169	0	0.000	10.448	3012.7	9137.8	24880
smol	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	281708	285494	169	14	5.805	16.155	7301.6	14397.8	28288
monoio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	480	267475	267475	507	0	0.000	15.007	2609.5	7580.2	25484
monoio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	264905	267475	507	2	243.606	15.818	5185.7	9323.2	16508
monoio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	288792	288792	994	0	0.000	10.225	2748.5	7455.4	75304
monoio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	282694	288730	1056	52	306.792	15.840	5550.5	10679.0	22384
monoio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	472	263242	263242	682	0	0.000	15.022	2841.0	7398.5	27432
monoio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	260612	263242	682	0	244.367	15.909	5371.9	9594.6	22144
monoio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	287101	287101	1275	0	0.000	10.200	3144.8	7031.1	143836
monoio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	265249	286892	1431	2	265.179	15.890	6695.2	11073.5	64108
monoio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	286976	286976	640	0	0.000	10.179	3011.8	7143.3	143928
monoio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	242210	286518	1098	0	311.633	15.800	6534.8	11096.2	82084
monoio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	486	292129	292129	479	0	0.000	15.017	2989.8	7905.6	82580
monoio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	282245	291931	677	0	272.014	15.831	6689.0	12436.8	27036
monoio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	286734	286734	818	0	0.000	10.145	2992.7	7143.1	119772
monoio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	274909	286662	882	10	334.800	15.804	5431.7	9728.0	40128
glommio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	510	285578	285578	279	0	0.000	15.004	3508.5	6776.8	143872
glommio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	510	199230	284888	438	5	23.273	16.181	9676.7	22618.8	147072
glommio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	510	285656	285656	246	0	0.000	15.019	3119.4	7085.1	108036
glommio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	510	224359	285084	367	16	24.374	16.145	8694.2	22622.5	110720
glommio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	508	283996	283996	741	0	0.000	15.014	2744.8	7894.2	70700
glommio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	508	249045	283754	769	14	18.273	16.212	8259.1	29266.8	73792
glommio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	508	283450	283450	624	0	0.000	15.018	2942.2	7453.2	43392
glommio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	508	265587	283401	673	27	14.902	16.100	7946.6	23171.5	44264
glommio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	506	282444	282444	329	0	0.000	15.013	3160.0	7068.7	64000
glommio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	506	248841	282314	391	2	9.824	15.849	8496.2	21728.0	67200
glommio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	508	287730	287730	693	0	0.000	15.016	2879.4	7888.0	46104
glommio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	508	262421	287354	740	60	27.678	15.896	8132.3	27276.0	49144
glommio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	508	283758	283758	476	0	0.000	15.017	3156.7	7068.7	82640
glommio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	508	238468	283519	591	2	19.747	16.215	8599.1	21794.9	85504
compio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	286210	286210	187	0	0.000	10.519	2702.5	7425.6	17664
compio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	283687	286210	187	1	84.099	16.215	5468.2	9042.1	16768
compio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	288149	288149	225	0	0.000	10.524	2832.3	7363.5	21504
compio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	285322	288149	225	2	67.781	16.200	5309.6	9821.9	17352
compio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	510	300157	300157	348	0	0.000	15.015	2763.7	8039.3	80840
compio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	3	510	296669	300157	348	12	296.936	16.049	5545.9	11169.7	19264
compio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	285908	285908	364	0	0.000	10.182	2662.7	7431.7	26804
compio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	283336	285908	364	8	91.027	15.863	5433.6	10201.1	18460
compio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	289090	289090	370	0	0.000	10.258	2625.0	7582.8	30384
compio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	285579	289090	370	15	124.549	15.849	5740.1	10553.0	17808
compio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	285640	285640	246	0	0.000	10.556	2817.8	7307.1	20096
compio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	283315	285640	246	6	49.594	16.214	5218.4	10335.2	17780
compio	caller	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	300618	300618	275	0	0.000	10.756	2967.8	7741.6	109656
compio	listener	reuseport-multi:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	296443	300617	275	1	884.969	15.855	5752.0	11136.7	19712
mio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	392795	392795	32	0	0.000	13.877	2071.0	11799.8	34716
