runtime	encryption	role	ingress	egress	promotion	cookie	batch	recv_rounds	would_block_policy	sock_buf_requested_bytes	sock_rcvbuf_effective_min_bytes	sock_rcvbuf_effective_max_bytes	sock_sndbuf_effective_min_bytes	sock_sndbuf_effective_max_bytes	cpus	pin	link_delay	link_jitter	link_loss	link_rate	link_reorder	link_duplicate	link_corrupt	link_limit	workers	recv_runtime	send_runtime	recv_ingress	send_ingress	recv_workers	send_workers	recv_cpus	send_cpus	conns	logical_streams	source_streams	connect_cc	cc_peak	bond	source_bps	srt_bw_mode	srt_maxbw_bps	srt_inputbw_bps	srt_oheadbw_pct	model_policy_rev	model_policy_fingerprint	model_class_pre	model_reasons_pre	rep	attempt	established	torn_down	pkt_sent	core_total	sec_a	sec_b	rtt_ms	elapsed_s	cpu_user_ms	cpu_sys_ms	peak_rss_kb	secs	udp_rcvbuf_err	udp_in_err	udp_no_ports	src_generated	src_accepted	src_refusal_polls	src_blocked_streaks	source_backlog_ms	src_backlog_cap	src_backlog_hwm	src_overflow	datapath_q_horizon_ms	datapath_q_count	datapath_q_cap_per_queue	datapath_q_total_cap	datapath_q_peak_depth_max	datapath_q_peak_depth_sum	datapath_q_full	datapath_q_dropped	datapath_q_disconnected	recv_packets	recv_syscalls	datagrams_per_syscall	timer_late_p50_bucket_us	timer_late_p95_bucket_us	timer_late_p99_bucket_us	timer_late_max_us	retry_horizon_ms	retry_count	retry_cap_per_queue	retry_total_cap	retry_peak_depth_max	would_block	retry_overflow	local_dropped
mio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	1	1	1	50	1	none	8000000	input-relative:25		8000000	25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	1	4647cadf43af5772b8172e90e71c1174-0	1	0	7719	7719	0	0	0.000	15.001	195.6	838.6	5352	15	0	0	0	11398	7719	9254	7713	1000	759	759	2921	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
mio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	1	1	0	50	0	none	8000000	input-relative:25		8000000	25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	1	4647cadf43af5772b8172e90e71c1174-0	1	0	7719	7719	0	0	0.226	15.004	229.1	544.2	5340	15	0	0	0	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	1	1	1	50	1	none	8000000	input-relative:25		8000000	25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	1	4647cadf43af5772b8172e90e71c1174-1	1	0	7850	7850	0	0	0.000	15.002	402.3	804.7	5500	15	0	0	0	11397	7850	9742	7848	1000	759	759	2789	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	1	1	0	50	0	none	8000000	input-relative:25		8000000	25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	1	4647cadf43af5772b8172e90e71c1174-1	1	0	7850	7850	0	0	0.133	15.006	371.6	515.3	5636	15	0	0	0	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
mio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	30	30	30	50	20	none	8000000	input-relative:25		8000000	25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	1	4647cadf43af5772b8172e90e71c1174-2	30	0	333991	333991	0	0	0.000	15.003	1814.6	5524.8	5888	15	0	0	0	341940	333991	784565	333423	1000	759	308	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
mio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	30	30	0	50	0	none	8000000	input-relative:25		8000000	25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	1	4647cadf43af5772b8172e90e71c1174-2	30	0	433537	333991	0	0	0.240	15.006	2789.5	3766.4	9856	15	0	0	0	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	30	30	30	50	30	none	8000000	input-relative:25		8000000	25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	1	4647cadf43af5772b8172e90e71c1174-3	30	0	237114	237114	0	0	0.000	15.005	2568.6	5194.1	6784	15	0	0	2	341941	237114	299468	237058	1000	759	759	82087	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	30	30	0	50	0	none	8000000	input-relative:25		8000000	25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	1	4647cadf43af5772b8172e90e71c1174-3	30	0	237114	237114	0	0	0.217	15.008	4424.6	3440.6	10240	15	0	0	2	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	335460	116388	2.882	1024	2048	4096	35022	250	4	1518	6072	0	0	0	0
mio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	200	200	200	50	50	none	8000000	input-relative:25		8000000	25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	1	4647cadf43af5772b8172e90e71c1174-4	200	0	1776546	1776546	0	0	0.000	15.032	6889.0	19333.6	9596	15	0	0	22	2279754	1776546	5991798	1776262	1000	759	759	351839	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
mio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	200	200	0	50	0	none	8000000	input-relative:25		8000000	25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	1	4647cadf43af5772b8172e90e71c1174-4	200	0	2354505	1776546	0	0	1.438	15.040	12064.6	11592.8	29056	15	0	0	22	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
