# scaling-sweep N=1000 S=5 F=200 K=256 H=64 window_ms=3000 reps=2 base_port=56000 payload_bytes=1316 git_sha=40bcc5c git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	200	200	2279	1862	417	372400	372400	141186	140930	549129	549385	true	0	256	1862	705	5323	21805	1984.7	5079.7	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	372400	372400	0	153.392	17.738	3100.7	4147.8	1862	1862	1862	0	0
ROW	1	1	200	200	2279	1909	370	381800	381800	135663	135407	595306	595562	true	0	256	1909	689	4839	10287	1942.4	5133.1	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	381800	381800	0	121.340	17.384	2936.9	3767.7	1909	1909	1909	0	0
ROW	1	2	200	200	2279	1827	452	365400	365400	133721	133465	547904	548160	true	0	256	1827	713	6033	27495	1908.8	5242.2	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	365400	365400	0	42.190	17.469	3013.0	4052.3	1827	1827	1827	0	0
ROW	1	3	200	200	2279	1791	488	358200	358200	111242	110986	595260	595516	true	0	256	1791	807	5498	9801	1733.5	5680.3	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	358200	358200	0	154.664	18.240	3189.3	4114.4	1791	1791	1791	0	0
ROW	1	4	200	200	2279	1752	527	350400	350400	110630	110374	578815	579071	true	0	256	1752	822	5449	9703	1772.1	5351.6	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	350400	350400	0	112.339	17.633	2900.8	3885.5	1752	1752	1752	0	0
ROW	2	0	200	200	2279	1894	385	378800	378800	148740	148484	536245	536501	true	0	256	1894	682	5076	11168	2009.7	4895.3	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	378800	378800	0	135.219	16.619	2890.4	3725.7	1894	1894	1894	0	0
ROW	2	1	200	200	2279	1932	347	386400	386400	142864	142608	609190	609446	true	0	256	1932	706	4560	8214	2010.4	5697.4	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	386400	386400	0	83.785	18.297	3302.3	4295.4	1932	1932	1932	0	0
ROW	2	2	200	200	2279	1878	401	375600	375600	144120	143864	514063	514319	true	0	256	1878	684	5418	12385	1966.0	4865.8	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	375600	375600	0	96.186	15.603	2820.0	3702.7	1878	1878	1878	0	0
ROW	2	3	200	200	2279	1738	541	347600	347600	105398	105142	579352	579608	true	0	256	1738	850	5431	18043	1674.4	5295.3	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	347600	347600	0	101.558	17.364	3163.9	3946.0	1738	1738	1738	0	0
ROW	2	4	200	200	2279	1796	483	359200	359200	125350	125094	585386	585642	true	0	256	1796	729	5317	8021	1749.5	5670.0	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	359200	359200	0	81.511	18.498	3288.0	4249.2	1796	1796	1796	0	0
